,Sample 1 Rack 1 Tube 1,,Sample 2 Rack 1 Tube 2,,Sample 3 Rack 1 Tube 3
wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
652.7999878,-0.000967058,652.7999878,-0.002378916,652.7999878,-0.002104547
652,-0.002638293,652,-0.002758791,652,-0.002728027
651.2000122,-0.001509528,651.2000122,-0.003532233,651.2000122,-0.002464123
650.4000244,-0.002059463,650.4000244,-0.004144181,650.4000244,-0.002916645
649.5999756,-0.002122116,649.5999756,-0.004501663,649.5999756,-0.002259909
648.7999878,-0.002463402,648.7999878,-0.00450238,648.7999878,-0.002148287
648,-0.002043387,648,-0.002693401,648,-0.002384735
647.2000122,-0.001693467,647.2000122,-0.002932741,647.2000122,-0.001337073
646.4000244,-0.002247908,646.4000244,-0.003064159,646.4000244,-0.001692436
645.5999756,-0.001964798,645.5999756,-0.003906637,645.5999756,-0.002612048
644.7999878,-0.002165596,644.7999878,-0.003977335,644.7999878,-0.002985704
644,-0.002643336,644,-0.004231605,644,-0.002424894
643.2000122,-0.002730445,643.2000122,-0.003980361,643.2000122,-0.002584773
642.4000244,-0.002731371,642.4000244,-0.003201551,642.4000244,-0.003571721
641.5999756,-0.003597241,641.5999756,-0.004462515,641.5999756,-0.003450575
640.7999878,-0.003476718,640.7999878,-0.003858969,640.7999878,-0.002173066
640,-0.002603608,640,-0.004175205,640,-0.001845367
639.2000122,-0.002783381,639.2000122,-0.003263319,639.2000122,-0.001577883
638.4000244,-0.003523914,638.4000244,-0.004353252,638.4000244,-0.00239704
637.5999756,-0.003065444,637.5999756,-0.003631538,637.5999756,-0.002040707
636.7999878,-0.002683059,636.7999878,-0.003202065,636.7999878,-0.002443788
636,-0.002909291,636,-0.003126821,636,-0.001918823
635.2000122,-0.003509792,635.2000122,-0.002981127,635.2000122,-0.002096252
634.4000244,-0.003896068,634.4000244,-0.003366846,634.4000244,-0.00361326
633.5999756,-0.00331655,633.5999756,-0.003512667,633.5999756,-0.004485215
632.7999878,-0.002514672,632.7999878,-0.003740777,632.7999878,-0.003231306
632,-0.003197285,632,-0.004191254,632,-0.003026578
631.2000122,-0.004259957,631.2000122,-0.004514216,631.2000122,-0.004145361
630.4000244,-0.003310076,630.4000244,-0.004174641,630.4000244,-0.003851272
629.5999756,-0.003323846,629.5999756,-0.004397227,629.5999756,-0.003642319
628.7999878,-0.002853438,628.7999878,-0.003918387,628.7999878,-0.003659261
628,-0.002628876,628,-0.004318807,628,-0.002977682
627.2000122,-0.002808998,627.2000122,-0.003731076,627.2000122,-0.002670093
626.4000244,-0.002116809,626.4000244,-0.003175083,626.4000244,-0.002592647
625.5999756,-0.002285557,625.5999756,-0.002855753,625.5999756,-0.002786673
624.7999878,-0.002796498,624.7999878,-0.002042459,624.7999878,-0.002328918
624,-0.002947705,624,-0.003545893,624,-0.002999226
623.2000122,-0.003589847,623.2000122,-0.003289576,623.2000122,-0.00297722
622.4000244,-0.002540511,622.4000244,-0.002678274,622.4000244,-0.001473825
621.5999756,-0.003097316,621.5999756,-0.003438042,621.5999756,-0.001418716
620.7999878,-0.003226372,620.7999878,-0.002766971,620.7999878,-0.002533356
620,-0.002437147,620,-0.002559503,620,-0.001528772
619.2000122,-0.002264956,619.2000122,-0.002609578,619.2000122,-0.001538213
618.4000244,-0.001112344,618.4000244,-0.001382799,618.4000244,-3.15E-05
617.5999756,-0.000998877,617.5999756,-0.000951922,617.5999756,0.000716052
616.7999878,-0.002832916,616.7999878,-0.003486322,616.7999878,-9.13E-05
616,-0.003536239,616,-0.002446259,616,-0.00103369
615.2000122,-0.003369312,615.2000122,-0.000996191,615.2000122,0.000143432
614.4000244,-0.002851587,614.4000244,-0.00184279,614.4000244,-0.000129669
613.5999756,-0.002227615,613.5999756,-0.001845419,613.5999756,0.000657743
612.7999878,-0.001687588,612.7999878,-0.002075643,612.7999878,0.000674516
612,-0.002357908,612,-0.003219486,612,0.000490609
611.2000122,-0.002180329,611.2000122,-0.002574016,611.2000122,0.001385684
610.4000244,-0.000950786,610.4000244,-0.002469888,610.4000244,0.002566552
609.5999756,-0.000262456,609.5999756,3.35E-05,609.5999756,0.003002358
