wavelength (nm),DOMBlank1,DOMSTD36,DOM11560
490.3999939,-0.001451689,0.013181341,-0.001107387
489.6000061,-0.001410099,0.012659508,-0.002364911
488.7999878,0.000644132,0.013663168,-0.001627607
488,4.59E-05,0.013878103,-0.001341718
487.1999817,5.05E-05,0.014660559,-0.000816452
486.3999939,-0.001240804,0.013942438,-0.000674013
485.6000061,-0.000499415,0.014965014,4.54E-05
484.7999878,0.00026347,0.015182711,0.00036613
484,0.00016653,0.015462398,-7.48E-05
483.1999817,-0.001147406,0.014677293,0.000460963
482.3999939,-0.000225926,0.015357984,0.001087614
481.6000061,-0.000805032,0.015359513,0.000953235
480.7999878,-0.001656748,0.015318456,-0.000300018
480,0.000822373,0.016588381,0.001538017
479.1999817,-0.000193015,0.017359924,-0.000533338
478.3999939,0.000331778,0.017422622,-0.000462543
477.6000061,-0.000318126,0.017730502,0.000444897
476.7999878,0.000676565,0.017140377,0.000245054
476,0.000258393,0.016721364,-0.000286049
475.1999817,0.000442047,0.017708985,0.001342993
474.3999939,0.000832799,0.017406724,0.001016825
