Analyseoppdrag	Prøvenr	Tekst på flaska	Stasjonskode	Stasjonsnavn
930-8148	DOM12512	1228-2-9 HOH 1110	1228-2-9	HOH 1110
930-8148	DOM12513	1228-1-13 HOH 1263	1228-1-13	HOH 1263
930-8148	DOM12514	1228-1-42 HOH 1166	1228-1-42	HOH 1166
930-8148	DOM12515	1228-1-12 HOH 1367	1228-1-12	HOH 1367
930-8148	DOM12516	1228-2-4 Øvre Juklevatni	1228-2-4	Øvre Juklevatni
930-8148	DOM12517	1228-501 Steinavatn	1228-501	Steinavatn
930-8148	DOM12518	1228-1-21 Litlavatn	1228-1-21	Litlavatn
930-8148	DOM12519	1228-3-8 Reinsnosvatnet	1228-3-8	Reinsnosvatnet
930-8149	DOM12520	1260-2-28 Kvalheimsvatnet	1260-2-28	Kvalheimsvatnet
930-8149	DOM12521	1260-2-20 Færevatnet	1260-2-20	Færevatnet
930-8150	DOM12522	1260-2-28 Kvalheimsvatnet	1260-2-28	Kvalheimsvatnet
